Región,Comuna,Tipo Remoción en masa,Factor desencadenante,Fecha Evento,Longitud,Latitud,Sistema Georeferencia,Cota (m.s.n.m)
Los Lagos,Castro,Deslizamiento,Precipitaciones,14/06/2017,-73.772576,-42.481575,WGS 84- UTM 18 S,
Los Lagos,calle Pedro Montt,Deslizamiento,Precipitaciones,26/07/2017,-73.7627643,-42.47319292,WGS 84- UTM 18 S,-
Los Lagos,Huicha,Deslizamiento,Precipitaciones,02/06/2014,-73.7619518,-42.64680315,WGS 84- UTM 18 S,-
Los Lagos,Pedro Montt II,Deslizamiento,Precipitaciones,26/07/2017,-73.76104,-42.47673155,WGS 84- UTM 18 S,-
Los Lagos,Pasaje Luiz Espinoza (Sector Miramar),Deslizamiento,Precipitaciones,15/06/2017,-73.7605093,-42.48081441,WGS 84- UTM 18 S,-
Los Lagos,Castro,Deslizamiento,Precipitaciones,14/06/2017,-73.760509,-42.480814,WGS 84- UTM 18 S,
Los Lagos,Pasaje Luiz Espinoza (Sector Miramar),Deslizamiento,Precipitaciones,05/11/2012,-73.7603146,-42.4814337,WGS 84- UTM 18 S,-
Los Lagos,Castro,Deslizamiento,Precipitaciones,01/06/2019,-73.760202,-7.080473333,WGS 84- UTM 18 S,
Los Lagos,ruta 5,Deslizamiento,Precipitaciones,25/12/2016,-73.7509073,-42.85086076,WGS 84- UTM 18 S,-
Los Lagos,Maicolpué,Deslizamiento,Precipitaciones,01/06/2014,-73.744713,-40.60475628,WGS 84- UTM 18 S,-
Los Lagos,San Juan de la Costa,Deslizamiento,Precipitaciones,01/06/2014,-73.7447,-40.6048,WGS 84- UTM 18 S,
Los Lagos,San Juan de la Costa,Deslizamiento,Precipitaciones,02/06/2014,-73.7447,-40.6048,WGS 84- UTM 18 S,
Los Lagos,Bahia Mansa,Deslizamiento,Precipitaciones,11/06/2020,-73.738506,-40.589171,WGS 84- UTM 18 S,
Los Lagos,San Juan de la Costa,Deslizamiento,Precipitaciones,19/07/2015,-73.7358,-40.592,WGS 84- UTM 18 S,
Los Lagos,Ruta U-410,Deslizamiento,Precipitaciones,19/07/2015,-73.7357922,-40.59204703,WGS 84- UTM 18 S,-
Los Lagos,Bahia Mansa,Deslizamiento,Precipitaciones,19/07/2015,-73.735792,-40.592047,WGS 84- UTM 18 S,
Los Lagos,Maicolpué,Flujo,Precipitaciones,06/05/2017,-73.7306714,-40.59537807,WGS 84- UTM 18 S,-
Los Lagos,Maicolpué,Flujo,Precipitaciones,13/05/2017,-73.7299576,-40.59500088,WGS 84- UTM 18 S,-
Los Lagos,Camino que une Purranque con San Pedro a la altura de Pabilo,Deslizamiento,Precipitaciones,13/08/2006,-73.729266,-40.9584585,WGS 84- UTM 18 S,-
Los Lagos,Pucatrihue,Deslizamiento,Precipitaciones,02/06/2014,-73.717743,-40.545256,WGS 84- UTM 18 S,-
Los Lagos,Pucatrihue,Deslizamiento,Precipitaciones,01/06/2014,-73.7177425,-40.54525576,WGS 84- UTM 18 S,-
Los Lagos,Túnel de Pucatrihue,Caída,Precipitaciones,14/07/2012,-73.7167227,-40.55042438,WGS 84- UTM 18 S,-
Los Lagos,Túnel de Pucatrihue,Caída,Precipitaciones,07/07/2017,-73.7167227,-40.55042438,WGS 84- UTM 18 S,-
Los Lagos,Pucatrihue,Deslizamiento,Precipitaciones,02/06/2014,-73.715631,-40.54065,WGS 84- UTM 18 S,-
Los Lagos,Pucatrihue,Deslizamiento,Precipitaciones,02/06/2014,-73.715186,-40.523949,WGS 84- UTM 18 S,-
Los Lagos,Incopulli,Flujo,Precipitaciones,25/12/2016,-73.7136055,-43.08491027,WGS 84- UTM 18 S,-
Los Lagos,puente Butalcura,Deslizamiento,Precipitaciones,07/05/2017,-73.7086083,-42.27983399,WGS 84- UTM 18 S,-
Los Lagos,Ancud,Deslizamiento,Precipitaciones,08/05/2017,-73.702974,-42.26007423,WGS 84- UTM 18 S,
Los Lagos,ruta 5,Deslizamiento,Precipitaciones,25/12/2016,-73.7012559,-42.90740063,WGS 84- UTM 18 S,-
Los Lagos,ruta 5 tramo Compu-Quellón,Deslizamiento,Precipitaciones,07/06/2013,-73.697777,-42.88353366,WGS 84- UTM 18 S,-
Los Lagos,ruta 5,Deslizamiento,Precipitaciones,25/12/2016,-73.6644345,-42.97136271,WGS 84- UTM 18 S,-
Los Lagos,Dalcahue,Deslizamiento,Precipitaciones,06/09/2013,-73.6637344,-42.36763193,WGS 84- UTM 18 S,-
Los Lagos,Dalcahue,Deslizamiento,Precipitaciones,28/09/2011,-73.6583115,-42.37649339,WGS 84- UTM 18 S,-
Los Lagos,rampa,Deslizamiento,Precipitaciones,03/07/2013,-73.6557583,-42.38173189,WGS 84- UTM 18 S,-
Los Lagos,Dalcahue,Deslizamiento,Precipitaciones,06/05/2017,-73.6529367,-42.37336837,WGS 84- UTM 18 S,-
Los Lagos,Sector 18 de Septiembre,Deslizamiento,Precipitaciones,23/02/2017,-73.6528638,-42.36939593,WGS 84- UTM 18 S,-
Los Lagos,ruta 5,Deslizamiento,Precipitaciones,25/12/2016,-73.645972,-42.74989,WGS 84- UTM 18 S,-
Los Lagos,W-853,Deslizamiento,Precipitaciones,25/12/2016,-73.6442603,-42.75274243,WGS 84- UTM 18 S,-
Los Lagos,Sector de Saltos de Petrohué,Deslizamiento,Precipitaciones,02/06/2015,-73.6301827,-0.008027995,WGS 84- UTM 18 S,-
Los Lagos,W-911,Deslizamiento,Precipitaciones,25/12/2016,-73.6296499,-42.97832654,WGS 84- UTM 18 S,-
Los Lagos,calle Agustín Gomez García,Deslizamiento,Precipitaciones,25/12/2016,-73.6278215,-43.10835255,WGS 84- UTM 18 S,-
Los Lagos,calle Agustín Gomez García,Caída,Precipitaciones,25/12/2016,-73.6274987,-43.10905105,WGS 84- UTM 18 S,-
Los Lagos,calle Agustín Gomez García,Deslizamiento,Precipitaciones,25/12/2016,-73.6271901,-43.11075825,WGS 84- UTM 18 S,-
Los Lagos,calle Agustín Gomez García,Deslizamiento,Precipitaciones,25/12/2016,-73.627122,-43.10940672,WGS 84- UTM 18 S,-
Los Lagos,calle Agustín Gomez García,Deslizamiento,Precipitaciones,25/12/2016,-73.6270435,-43.10962189,WGS 84- UTM 18 S,-
Los Lagos,calle Agustín Gomez García,Caída,Precipitaciones,25/12/2016,-73.6270427,-43.11075648,WGS 84- UTM 18 S,-
Los Lagos,prolongación Gómez García,Deslizamiento,Precipitaciones,01/08/2015,-73.627025,-43.1109994,WGS 84- UTM 18 S,-
Los Lagos,calle Agustín Gomez García,Deslizamiento,Precipitaciones,25/12/2016,-73.6269569,-43.10964787,WGS 84- UTM 18 S,-
Los Lagos,calle Agustín Gomez García,Deslizamiento,Precipitaciones,25/12/2016,-73.6269218,-43.11011569,WGS 84- UTM 18 S,-
Los Lagos,calle Agustín Gomez García,Deslizamiento,Precipitaciones,25/12/2016,-73.6267816,-43.11088842,WGS 84- UTM 18 S,-
Los Lagos,calle Agustín Gomez García,Deslizamiento,Precipitaciones,25/12/2016,-73.626776,-43.11114048,WGS 84- UTM 18 S,-
Los Lagos,calle Agustín Gomez García,Deslizamiento,Precipitaciones,25/12/2016,-73.6264666,-43.11178511,WGS 84- UTM 18 S,-
Los Lagos,calle Agustín Gomez García,Deslizamiento,Precipitaciones,25/12/2016,-73.6263407,-43.11191867,WGS 84- UTM 18 S,-
Los Lagos,Agustín Gomez García,Deslizamiento,Precipitaciones,25/12/2016,-73.6263407,-43.11191867,WGS 84- UTM 18 S,-
Los Lagos,Agustín Gomez García,Deslizamiento,Precipitaciones,25/12/2016,-73.6263407,-43.11191867,WGS 84- UTM 18 S,-
Los Lagos,W-911,Deslizamiento,Precipitaciones,25/12/2016,-73.6232194,-42.9785105,WGS 84- UTM 18 S,-
Los Lagos,Queilen,Deslizamiento,Precipitaciones,25/12/2016,-73.6211989,-42.82283386,WGS 84- UTM 18 S,-
Los Lagos,W-911,Deslizamiento,Precipitaciones,25/12/2016,-73.6209479,-42.97862723,WGS 84- UTM 18 S,-
Los Lagos,W-911,Deslizamiento,Precipitaciones,25/12/2016,-73.6205801,-42.9786228,WGS 84- UTM 18 S,-
Los Lagos,borde costero Quelllón,Caída,Precipitaciones,17/05/2018,-73.6204361,-43.12089738,WGS 84- UTM 18 S,-
Los Lagos,W-911,Deslizamiento,Precipitaciones,25/12/2016,-73.6201759,-42.97859992,WGS 84- UTM 18 S,-
Los Lagos,W-911,Deslizamiento,Precipitaciones,25/12/2016,-73.6173396,-42.97874579,WGS 84- UTM 18 S,-
Los Lagos,W-911,Caída,Precipitaciones,25/12/2016,-73.6145447,-42.97595647,WGS 84- UTM 18 S,-
Los Lagos,W-911,Deslizamiento,Precipitaciones,25/12/2016,-73.6102272,-42.97489557,WGS 84- UTM 18 S,-
Los Lagos,Av. Del Mar,Deslizamiento,Precipitaciones,25/12/2016,-73.6090072,-42.4426025,WGS 84- UTM 18 S,-
Los Lagos,W-911,Deslizamiento,Precipitaciones,25/12/2016,-73.6079715,-42.97431885,WGS 84- UTM 18 S,-
Los Lagos,W-911,Deslizamiento,Precipitaciones,25/12/2016,-73.6063116,-42.97342517,WGS 84- UTM 18 S,-
Los Lagos,W-911,Deslizamiento,Precipitaciones,25/12/2016,-73.6059224,-42.97328536,WGS 84- UTM 18 S,-
Los Lagos,W-911,Caída,Precipitaciones,25/12/2016,-73.6053964,-42.97322492,WGS 84- UTM 18 S,-
Los Lagos,Km 43.200. Ruta U-40 (Entre Osorno y Bahía Mansa),Deslizamiento,Precipitaciones,22/08/2007,-73.6047497,-40.57499864,WGS 84- UTM 18 S,-
Los Lagos,Playa Curaco de Vélez,Deslizamiento,Precipitaciones,12/08/2015,-73.6032457,-42.43868698,WGS 84- UTM 18 S,-
Los Lagos,Costanera Parque Industrial,Caída,Precipitaciones,25/12/2016,-73.597259,-43.12006626,WGS 84- UTM 18 S,-
Los Lagos,W-911,Caída,Precipitaciones,25/12/2016,-73.5955431,-42.97025886,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Caída,Precipitaciones,25/12/2016,-73.595475,-43.12013442,WGS 84- UTM 18 S,-
Los Lagos,San juan de Chadmo,Deslizamiento,Precipitaciones,15/06/2017,-73.5953406,-42.97053553,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Caída,Precipitaciones,25/12/2016,-73.5952903,-43.12015016,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Caída,Precipitaciones,25/12/2016,-73.5946384,-43.12016917,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Deslizamiento,Precipitaciones,25/12/2016,-73.5942971,-43.12003891,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Caída,Precipitaciones,25/12/2016,-73.594282,-43.12016479,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Caída,Precipitaciones,25/12/2016,-73.5940235,-43.12017962,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Deslizamiento,Precipitaciones,25/12/2016,-73.5940004,-43.1201163,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Caída,Precipitaciones,25/12/2016,-73.5937892,-43.12021276,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Caída,Precipitaciones,25/12/2016,-73.5934215,-43.12016322,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Deslizamiento,Precipitaciones,25/12/2016,-73.5932128,-43.12015165,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Deslizamiento,Precipitaciones,25/12/2016,-73.5930652,-43.12015884,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Caída,Precipitaciones,25/12/2016,-73.5930637,-43.12022185,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Deslizamiento,Precipitaciones,25/12/2016,-73.5929548,-43.12014847,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Caída,Precipitaciones,25/12/2016,-73.5929285,-43.12022019,WGS 84- UTM 18 S,-
Los Lagos,Costanera Oriente,Caída,Precipitaciones,25/12/2016,-73.5929285,-43.12022019,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Caída,Precipitaciones,25/12/2016,-73.5927319,-43.12021777,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Deslizamiento,Precipitaciones,25/12/2016,-73.592684,-43.12016315,WGS 84- UTM 18 S,-
Los Lagos,Parque Industrial Oriente,Deslizamiento,Precipitaciones,25/12/2016,-73.5923024,-43.12018547,WGS 84- UTM 18 S,-
Los Lagos,ruta Puqueldón-Detif,Deslizamiento,Precipitaciones,25/12/2016,-73.5829039,-42.66804291,WGS 84- UTM 18 S,-
Los Lagos,Queilen,Deslizamiento,Precipitaciones,25/12/2016,-73.5821594,-42.86469913,WGS 84- UTM 18 S,-
Los Lagos,Detif,Deslizamiento,Precipitaciones,02/09/2017,-73.5806739,-42.6748774,WGS 84- UTM 18 S,-
Los Lagos,Queilen,Deslizamiento,Precipitaciones,25/12/2016,-73.5786006,-42.86881535,WGS 84- UTM 18 S,-
Los Lagos,Muelle Contex,Caída,Precipitaciones,25/12/2016,-73.5766941,-43.11846155,WGS 84- UTM 18 S,-
Los Lagos,ruta Puqueldón-Detif,Deslizamiento,Precipitaciones,25/12/2016,-73.5762195,-42.67701042,WGS 84- UTM 18 S,-
Los Lagos,Queilen,Deslizamiento,Precipitaciones,25/12/2016,-73.5717934,-42.87520527,WGS 84- UTM 18 S,-
Los Lagos,Puerto Elvira,Deslizamiento,Precipitaciones,02/06/2014,-73.5667734,-41.80582219,WGS 84- UTM 18 S,-
Los Lagos,W-911,Deslizamiento,Precipitaciones,25/12/2016,-73.5585812,-43.01183417,WGS 84- UTM 18 S,-
Los Lagos,W-911,Caída,Precipitaciones,25/12/2016,-73.5566221,-43.01846407,WGS 84- UTM 18 S,-
Los Lagos,puente Quillaico,Deslizamiento,Precipitaciones,20/07/2012,-73.5499066,-42.28877998,WGS 84- UTM 18 S,-
Los Lagos,W-911,Caída,Precipitaciones,25/12/2016,-73.5481934,-43.00066287,WGS 84- UTM 18 S,-
Los Lagos,Auchac,Deslizamiento,Precipitaciones,19/05/2012,-73.5401198,-43.02607994,WGS 84- UTM 18 S,-
Los Lagos,Queilen,Deslizamiento,Precipitaciones,25/12/2016,-73.5325539,-42.88547901,WGS 84- UTM 18 S,-
Los Lagos,ruta Puqueldón-Detif,Deslizamiento,Precipitaciones,25/12/2016,-73.531096,-42.67765628,WGS 84- UTM 18 S,-
Los Lagos,Isla Tranqui,Deslizamiento,Precipitaciones,25/12/2017,-73.5253579,-42.94488258,WGS 84- UTM 18 S,-
Los Lagos,Apahuén,Deslizamiento,Precipitaciones,11/06/2018,-73.5207691,-42.6787571,WGS 84- UTM 18 S,-
Los Lagos,Queilen,Deslizamiento,Precipitaciones,25/12/2016,-73.5123031,-42.86749565,WGS 84- UTM 18 S,-
Los Lagos,Sector Yungay,Deslizamiento,Precipitaciones,25/07/2015,-73.5039411,-42.1428322,WGS 84- UTM 18 S,-
Los Lagos,Chilcol,Caída,Precipitaciones,04/04/2016,-73.4787865,-43.12100155,WGS 84- UTM 18 S,-
Los Lagos,Puente Sangra,Deslizamiento,Precipitaciones,01/07/2013,-73.4782062,-42.14465515,WGS 84- UTM 18 S,-
Los Lagos,Quemchi,Deslizamiento,Precipitaciones,26/06/2017,-73.478188,-42.144424,WGS 84- UTM 18 S,-
Los Lagos,Juan Pablo Tocol,Deslizamiento,Precipitaciones,26/06/2018,-73.478088,-42.1445365,WGS 84- UTM 18 S,-
