Región,Comuna,Factor desencadenante,Longitud,Latitud,Sistema Georeferencia,Cota (m.s.n.m),PP,valor_humedad_suelo1,valor_humedad_suelo2,valor_humedad_suelo3,valor_humedad_suelo4,Fecha Evento,Tipo Remoción en masa,Unnamed: 0,Valor,slope
Los Lagos,Puerto Montt,Precipitaciones,-72.778264,-41.295016,WGS 84- UTM 18 S,-,4.249430768191814,0.4379425048828125,0.4372711181640625,0.423187255859375,0.4310455322265625,23/06/2017,Deslizamiento,10.0,1.0,26.953796954235663
Los Lagos,Puerto Montt,Precipitaciones,-72.762965,-41.268275,WGS 84- UTM 18 S,-,125.77260614931583,0.438995361328125,0.438995361328125,0.4389801025390625,0.4371185302734375,15/06/2017,Deslizamiento,12.0,1.0,33.38536623139465
Los Lagos,Puerto Montt,Precipitaciones,-72.752511,-41.266,WGS 84- UTM 18 S,-,125.77260614931583,0.438995361328125,0.438995361328125,0.4389801025390625,0.4371185302734375,15/06/2017,Deslizamiento,13.0,1.0,33.38536623139465
Los Lagos,Puerto Montt,Precipitaciones,-72.7516,-41.2679,WGS 84- UTM 18 S,56,20.628397371940082,0.438934326171875,0.4388580322265625,0.4389190673828125,0.425384521484375,19/04/2010,Deslizamiento,14.0,1.0,33.38536623139465
Los Lagos,Chaitén,Precipitaciones,-72.12299999999999,-43.1966,WGS 84- UTM 18 S,-,17.112289979006164,0.416534423828125,0.3691864013671875,0.356109619140625,0.4088287353515625,02/09/2011,Deslizamiento,15.0,1.0,75.68994767657252
Los Lagos,Puerto Montt,Precipitaciones,-72.6086,-41.2982,WGS 84- UTM 18 S,30,7.495947617688216,0.438995361328125,0.4384765625,0.4152374267578125,0.426300048828125,23/05/2013,Deslizamiento,16.0,1.0,62.330641109142064
Los Lagos,Frutillar,Precipitaciones,-72.829,-40.9379,WGS 84- UTM 18 S,62,138.8988752141595,0.4384613037109375,0.43792724609375,0.438323974609375,0.4243011474609375,02/06/2014,Flujo,17.0,1.0,22.34295383017216
Los Lagos,San Juan de la Costa,Precipitaciones,-73.51769999999999,-40.3453,WGS 84- UTM 18 S,22,84.97422587871552,0.5152435302734375,0.5108795166015625,0.5184326171875,0.48492431640625,01/06/2014,Deslizamiento,18.0,1.0,53.2348773621195
Los Lagos,San Juan de la Costa,Precipitaciones,-73.51769999999999,-40.3453,WGS 84- UTM 18 S,22,97.04386827349663,0.5200042724609375,0.510162353515625,0.5190582275390625,0.500579833984375,02/06/2014,Deslizamiento,19.0,1.0,53.2348773621195
Los Lagos,San Juan de la Costa,Precipitaciones,-73.54469999999999,-40.4048,WGS 84- UTM 18 S,18,84.97422587871552,0.5152435302734375,0.5108795166015625,0.5184326171875,0.48492431640625,01/06/2014,Deslizamiento,20.0,1.0,40.7886480116423
Los Lagos,San Juan de la Costa,Precipitaciones,-73.54469999999999,-40.4048,WGS 84- UTM 18 S,18,97.04386827349663,0.5200042724609375,0.510162353515625,0.5190582275390625,0.500579833984375,02/06/2014,Deslizamiento,21.0,1.0,40.7886480116423
Los Lagos,Ancud,Precipitaciones,-73.7255,-41.8363,WGS 84- UTM 18 S,68,6.910129431867972,,,,,04/05/2002,Deslizamiento,22.0,1.0,25.196440684425912
Los Lagos,Puerto Varas,Precipitaciones,-72.7766,-41.1213,WGS 84- UTM 18 S,64,34.82846754824277,0.1231536865234375,0.1285552978515625,0.1263275146484375,0.1685333251953125,08/05/2013,Deslizamiento,23.0,1.0,0.0
Los Lagos,Puerto Varas,Precipitaciones,-72.2016,-40.9432,WGS 84- UTM 18 S,264,253.9897879064083,0.4006805419921875,0.3983612060546875,0.389129638671875,0.3587493896484375,02/07/2013,Flujo,24.0,1.0,62.99219211871155
Los Lagos,Puerto Montt,Precipitaciones,-72.7522,-41.2692,WGS 84- UTM 18 S,59,205.48008535802364,0.4389495849609375,0.4389495849609375,0.4389495849609375,0.4389190673828125,02/07/2013,Deslizamiento,25.0,1.0,33.38536623139465
Los Lagos,Puerto Montt,Precipitaciones,-72.6129,-41.2923,WGS 84- UTM 18 S,29,5.135400311555713,0.434417724609375,0.427764892578125,0.4309844970703125,0.4373626708984375,04/06/2014,Deslizamiento,26.0,1.0,62.61901661138922
Los Lagos,Puerto Montt,Precipitaciones,-72.7988,-41.3076,WGS 84- UTM 18 S,22,3.2003707417752594,0.4389495849609375,0.4375,0.4057769775390625,0.4372100830078125,04/06/2014,Deslizamiento,27.0,1.0,41.4214249944314
Los Lagos,Puerto Montt,Precipitaciones,-72.8444,-41.3226,WGS 84- UTM 18 S,-,4.028045477811247,0.438720703125,0.4351348876953125,0.4206085205078125,0.4373016357421875,04/06/2014,Deslizamiento,29.0,1.0,16.043761211986425
Los Lagos,Puerto Montt,Precipitaciones,-72.76299999999999,-41.2811,WGS 84- UTM 18 S,83,176.77706079510972,0.438140869140625,0.4373626708984375,0.437713623046875,0.437408447265625,02/06/2014,Deslizamiento,30.0,1.0,33.38536623139465
Los Lagos,Puerto Montt,Precipitaciones,-72.7521,-41.2678,WGS 84- UTM 18 S,69,176.77706079510972,0.438140869140625,0.4373626708984375,0.437713623046875,0.437408447265625,02/06/2014,Deslizamiento,32.0,1.0,33.38536623139465
Los Lagos,Puerto Montt,Precipitaciones,-72.94,-41.553,WGS 84- UTM 18 S,67,76.02797942957841,,,,,02/06/2014,Deslizamiento,34.0,1.0,0.0
Los Lagos,Calbuco,Precipitaciones,-72.9294,-41.5633,WGS 84- UTM 18 S,28,76.02797942957841,,,,,02/06/2014,Flujo,35.0,1.0,0.0
Los Lagos,Calbuco,Precipitaciones,-72.9359,-41.5655,WGS 84- UTM 18 S,16,76.02797942957841,,,,,02/06/2014,Deslizamiento,36.0,1.0,0.0
Los Lagos,Calbuco,Precipitaciones,-72.9361,-41.5658,WGS 84- UTM 18 S,15,76.02797942957841,,,,,02/06/2014,Deslizamiento,37.0,1.0,0.0
Los Lagos,Calbuco,Precipitaciones,-72.93299999999999,-41.5677,WGS 84- UTM 18 S,20,76.02797942957841,,,,,02/06/2014,Deslizamiento,38.0,1.0,0.0
Los Lagos,Puerto Montt,Precipitaciones,-72.8475,-41.327,WGS 84- UTM 18 S,16,98.2859584838152,0.438995361328125,0.4379730224609375,0.43829345703125,0.4380950927734375,02/06/2014,Deslizamiento,39.0,1.0,15.565114631929733
Los Lagos,Quemchi,Precipitaciones,-73.3039,-41.9428,WGS 84- UTM 18 S,112,178.49777272343636,,,,,25/07/2015,Deslizamiento,41.0,1.0,0.0
Los Lagos,San Juan de la Costa,Precipitaciones,-73.5358,-40.392,WGS 84- UTM 18 S,43,27.86204457655549,0.5142974853515625,0.4963836669921875,0.49261474609375,0.516082763671875,19/07/2015,Deslizamiento,42.0,1.0,45.98278465667945
Los Lagos,Los Muermos,Precipitaciones,-73.6351,-41.195,WGS 84- UTM 18 S,,19.982427537441254,0.5114288330078125,0.47686767578125,0.503082275390625,0.5193328857421875,29/08/2015,Deslizamiento,43.0,1.0,50.31282039695561
Los Lagos,Los Muermos,Precipitaciones,-73.6351,-41.195,WGS 84- UTM 18 S,,0.289412759244442,0.499755859375,0.4984893798828125,0.4588775634765625,0.5152587890625,31/08/2015,Deslizamiento,44.0,1.0,50.31282039695561
Los Lagos,Puerto Montt,Precipitaciones,-72.6994,-41.284,WGS 84- UTM 18 S,35,0.0,0.2586669921875,0.29071044921875,0.2925872802734375,0.383514404296875,17/01/2014,Deslizamiento,45.0,1.0,31.221271197469374
Los Lagos,Localidad de Guapi-Quilan,Precipitaciones,-74.0937289,-43.1225986,WGS 84- UTM 18 S,-,0.0,0.4320526123046875,0.405426025390625,0.3337860107421875,0.3840179443359375,25/12/2016,Deslizamiento,46.0,1.0,22.76345272513275
Los Lagos,Localidad Inio,Precipitaciones,-73.9314642,-43.15946243,WGS 84- UTM 18 S,-,0.0,0.4303131103515625,0.4073486328125,0.335968017578125,0.385650634765625,25/12/2016,Deslizamiento,47.0,1.0,52.23912156722438
Los Lagos,sector Rahue La Montaña,Precipitaciones,-73.9280648,-42.50960244,WGS 84- UTM 18 S,-,57.46740406751633,0.51947021484375,0.518829345703125,0.51788330078125,0.5173797607421875,23/08/2017,Deslizamiento,48.0,1.0,42.597204641265904
Los Lagos,ruta Chanquin a Huentemó,Precipitaciones,-73.9221986,-42.39022502,WGS 84- UTM 18 S,-,19.13019733002875,0.5143585205078125,0.4988250732421875,0.5059356689453125,0.51605224609375,28/07/2017,Deslizamiento,49.0,1.0,48.56487414460911
Los Lagos,ruta Huillinco-Cucao,Precipitaciones,-73.9168933,-42.45260205,WGS 84- UTM 18 S,-,6.770839750766754,0.508270263671875,0.5048828125,0.4247894287109375,0.4744873046875,25/12/2016,Deslizamiento,50.0,1.0,44.23050535965124
Los Lagos,ruta Huillinco-Cucao,Precipitaciones,-73.878693,-42.44363784,WGS 84- UTM 18 S,-,6.770839750766754,0.508270263671875,0.5048828125,0.4247894287109375,0.4744873046875,25/12/2016,Deslizamiento,51.0,1.0,47.70040586733637
Los Lagos,ruta Huillinco-Cucao,Precipitaciones,-73.8363473,-42.46138156,WGS 84- UTM 18 S,-,4.023018687963486,0.4541015625,0.4176483154296875,0.329132080078125,0.4103546142578125,25/12/2016,Deslizamiento,52.0,1.0,60.50294424245544
Los Lagos,ruta Huillinco-Cucao,Precipitaciones,-73.8129503,-42.46485658,WGS 84- UTM 18 S,-,4.023018687963486,0.4541015625,0.4176483154296875,0.329132080078125,0.4103546142578125,25/12/2016,Deslizamiento,53.0,1.0,40.27312128048025
Los Lagos,sector Puente Caldera,Precipitaciones,-73.8122174,-42.4649043,WGS 84- UTM 18 S,-,4.791395881411518,0.4468536376953125,0.453826904296875,0.4362335205078125,0.4376068115234375,07/06/2017,Deslizamiento,54.0,1.0,40.27312128048025
Los Lagos,camino a Cucao,Precipitaciones,-73.8037725,-42.46572271,WGS 84- UTM 18 S,-,0.019114121794700623,0.446380615234375,0.4251556396484375,0.4523773193359375,0.41009521484375,08/05/2017,Deslizamiento,55.0,1.0,40.27312128048025
Los Lagos,ruta Huillinco-Cucao,Precipitaciones,-73.79715449999999,-42.46825854,WGS 84- UTM 18 S,-,4.023018687963486,0.4541015625,0.4176483154296875,0.329132080078125,0.4103546142578125,25/12/2016,Deslizamiento,56.0,1.0,40.27312128048025
Los Lagos,camino Notuco-Huillinco,Precipitaciones,-73.6812419,-42.46597831,WGS 84- UTM 18 S,-,5.920408084755763,0.41534423828125,0.425201416015625,0.41705322265625,0.41448974609375,22/06/2012,Deslizamiento,58.0,1.0,29.002863052077156
Los Lagos,Caleta Estaquilla,Precipitaciones,-73.63507059999999,-41.19498188,WGS 84- UTM 18 S,-,19.982427537441254,0.5114288330078125,0.47686767578125,0.503082275390625,0.5193328857421875,29/08/2015,Deslizamiento,61.0,1.0,50.31282039695561
Los Lagos,Caleta Estaquilla,Precipitaciones,-73.63504879999999,-41.19352246,WGS 84- UTM 18 S,-,1.2825158807972912,0.49127197265625,0.4856414794921875,0.4632720947265625,0.5156707763671875,03/07/2004,Deslizamiento,62.0,1.0,48.815845733037136
Los Lagos,Caleta Estaquilla,Precipitaciones,-73.63504879999999,-41.19352246,WGS 84- UTM 18 S,-,3.098333290894516,0.50274658203125,0.501220703125,0.5004119873046875,0.49774169921875,15/06/2015,Deslizamiento,63.0,1.0,48.815845733037136
Los Lagos,sector Mechaico,Precipitaciones,-73.63094459999999,-41.73736687,WGS 84- UTM 18 S,-,19.22395266732201,0.4373931884765625,0.4226837158203125,0.418701171875,0.38201904296875,06/06/2014,Deslizamiento,64.0,1.0,13.161595756231623
Los Lagos,sector Mechaico,Precipitaciones,-73.63093359999999,-41.73731272,WGS 84- UTM 18 S,-,109.52574317902327,0.438995361328125,0.4375457763671875,0.4007568359375,0.32440185546875,20/05/2015,Deslizamiento,65.0,1.0,13.161595756231623
Los Lagos,sector Mechaico,Precipitaciones,-73.63092089999999,-41.73734862,WGS 84- UTM 18 S,-,168.96142166480422,0.438995361328125,0.4373016357421875,0.4385986328125,0.43304443359375,02/07/2013,Deslizamiento,66.0,1.0,13.161595756231623
Los Lagos,sector Mechaico,Precipitaciones,-73.6308852,-41.73732124,WGS 84- UTM 18 S,-,265.5056096762419,0.438995361328125,0.438995361328125,0.438995361328125,0.3692474365234375,02/06/2014,Deslizamiento,67.0,1.0,13.161595756231623
Los Lagos,ruta 5 sector cuesta Mechaico,Precipitaciones,-73.62864979999999,-41.73291225,WGS 84- UTM 18 S,-,9.219071296043694,0.4089508056640625,0.40618896484375,0.402313232421875,0.4264068603515625,10/09/2017,Deslizamiento,68.0,1.0,10.407635993324782
Los Lagos,ruta 5 sector cuesta Mechaico,Precipitaciones,-73.627809,-41.73272354,WGS 84- UTM 18 S,-,262.9045966579579,0.438995361328125,0.4358062744140625,0.295989990234375,0.3195648193359375,06/05/2014,Deslizamiento,69.0,1.0,10.407635993324782
Los Lagos,sector San Antonio,Precipitaciones,-73.6262673,-41.66348291,WGS 84- UTM 18 S,-,63.9898308198899,0.3967742919921875,0.374755859375,0.3432464599609375,0.268890380859375,30/05/2013,Deslizamiento,70.0,1.0,11.049562515139987
Los Lagos,Yerbaloza,Precipitaciones,-73.62534889999999,-42.66547171,WGS 84- UTM 18 S,-,19.8023301102221,,,,,09/05/2013,Deslizamiento,71.0,1.0,36.130135962726605
Los Lagos,ruta 5 sector puente San Antonio,Precipitaciones,-73.62119919999999,-41.75890995,WGS 84- UTM 18 S,-,265.5056096762419,0.438995361328125,0.438995361328125,0.438995361328125,0.3692474365234375,02/06/2014,Deslizamiento,72.0,1.0,22.28982424388374
Los Lagos,ruta 5,Precipitaciones,-73.6097417,-42.37664326,WGS 84- UTM 18 S,-,2.4039033353328705,0.413909912109375,0.3066558837890625,0.2748870849609375,0.3748931884765625,25/12/2016,Deslizamiento,73.0,1.0,33.96563419813515
Los Lagos,ruta 5 sector Coihuin,Precipitaciones,-73.58892709999999,-42.54021647,WGS 84- UTM 18 S,-,188.20943195046857,,,,,18/04/2015,Deslizamiento,74.0,1.0,33.60971293720601
Los Lagos,Caleta Hueyelhue,Precipitaciones,-73.5888791,-40.5083028,WGS 84- UTM 18 S,-,32.05904547544196,0.5200042724609375,0.517608642578125,0.5187225341796875,0.513336181640625,09/08/2002,Deslizamiento,75.0,1.0,37.49781177377808
Los Lagos,Río Negro,Precipitaciones,-73.58879999999999,-40.5086,WGS 84- UTM 18 S,,32.05904547544196,0.5200042724609375,0.517608642578125,0.5187225341796875,0.513336181640625,09/08/2002,Deslizamiento,76.0,1.0,37.49781177377808
Los Lagos,ruta 5,Precipitaciones,-73.58768169999999,-42.5138356,WGS 84- UTM 18 S,-,4.613802939653397,,,,,25/12/2016,Deslizamiento,77.0,1.0,45.67695029419471
Los Lagos,W-853,Precipitaciones,-73.5874322,-42.56363249,WGS 84- UTM 18 S,-,4.613802939653397,,,,,25/12/2016,Deslizamiento,78.0,1.0,33.385675433222644
Los Lagos,sector Pulpito,Precipitaciones,-73.5873652,-42.56894491,WGS 84- UTM 18 S,-,36.14896546024829,,,,,03/05/2013,Deslizamiento,79.0,1.0,38.49525068836949
Los Lagos,Población Cardenal Silva Henríquez,Precipitaciones,-73.5855165,-42.26860021,WGS 84- UTM 18 S,-,13.532033605501056,0.421875,0.369903564453125,0.33453369140625,0.371612548828125,07/03/2001,Flujo,80.0,1.0,32.35729954328085
Los Lagos,Castro,Precipitaciones,-73.582025,-42.272994,WGS 84- UTM 18 S,,104.85907871788368,0.438995361328125,0.4368743896484375,0.4085540771484375,0.3951568603515625,14/06/2017,Deslizamiento,81.0,1.0,23.687796294934813
Los Lagos,calle Hullinco. polación Prat 1,Precipitaciones,-73.58192559999999,-42.27311901,WGS 84- UTM 18 S,-,277.24803494662046,0.438995361328125,0.438995361328125,0.4375457763671875,0.4020233154296875,15/06/2017,Deslizamiento,82.0,1.0,23.687796294934813
Los Lagos,Castro,Precipitaciones,-73.57923199999999,-42.26648,WGS 84- UTM 18 S,,104.85907871788368,0.438995361328125,0.4368743896484375,0.4085540771484375,0.3951568603515625,14/06/2017,Deslizamiento,83.0,1.0,23.687796294934813
Los Lagos,calle Caguach,Precipitaciones,-73.5791081,-42.2666139,WGS 84- UTM 18 S,-,277.24803494662046,0.438995361328125,0.438995361328125,0.4375457763671875,0.4020233154296875,15/06/2017,Deslizamiento,84.0,1.0,23.687796294934813
Los Lagos,Castro,Precipitaciones,-73.57598999999999,-42.265358,WGS 84- UTM 18 S,,277.24803494662046,0.438995361328125,0.438995361328125,0.4375457763671875,0.4020233154296875,15/06/2017,Deslizamiento. Flujo,85.0,1.0,28.04064961926533
Los Lagos,Lomas de Castro - Calle Galvarino Riveros Norte,Precipitaciones,-73.5759169,-42.26558922,WGS 84- UTM 18 S,-,277.24803494662046,0.438995361328125,0.438995361328125,0.4375457763671875,0.4020233154296875,15/06/2017,Deslizamiento,86.0,1.0,28.04064961926533
Los Lagos,Calle Antonio Quintanilla,Precipitaciones,-73.5739153,-42.26967444,WGS 84- UTM 18 S,-,277.24803494662046,0.438995361328125,0.438995361328125,0.4375457763671875,0.4020233154296875,15/06/2017,Deslizamiento,87.0,1.0,29.832207926724408
Los Lagos,Castro,Precipitaciones,-73.57373299999999,-42.268042,WGS 84- UTM 18 S,,238.1399183422327,0.438995361328125,0.438995361328125,0.4302215576171875,0.372833251953125,09/03/2001,Flujo,88.0,1.0,32.83548554352005
Los Lagos,Puente Gamboa - ruta 5,Precipitaciones,-73.57265509999999,-42.28187273,WGS 84- UTM 18 S,-,277.24803494662046,0.438995361328125,0.438995361328125,0.4375457763671875,0.4020233154296875,15/06/2017,Deslizamiento,89.0,1.0,24.607125533293846
Los Lagos,Castro,Precipitaciones,-73.572576,-42.281575,WGS 84- UTM 18 S,,104.85907871788368,0.438995361328125,0.4368743896484375,0.4085540771484375,0.3951568603515625,14/06/2017,Deslizamiento,90.0,1.0,24.607125533293846
Los Lagos,calle Pedro Montt,Precipitaciones,-73.5627643,-42.27319292,WGS 84- UTM 18 S,-,21.418371836654842,0.433349609375,0.410003662109375,0.397705078125,0.4176025390625,26/07/2017,Deslizamiento,91.0,1.0,32.83548554352005
Los Lagos,Huicha,Precipitaciones,-73.5619518,-42.44680315,WGS 84- UTM 18 S,-,179.6511184861654,,,,,02/06/2014,Deslizamiento,92.0,1.0,27.032334835020226
Los Lagos,Pedro Montt II,Precipitaciones,-73.56103999999999,-42.27673155,WGS 84- UTM 18 S,-,21.418371836654842,0.433349609375,0.410003662109375,0.397705078125,0.4176025390625,26/07/2017,Deslizamiento,93.0,1.0,38.804578514954414
Los Lagos,Pasaje Luiz Espinoza (Sector Miramar),Precipitaciones,-73.56050929999999,-42.28081441,WGS 84- UTM 18 S,-,282.8203917648643,0.438995361328125,0.438995361328125,0.436492919921875,0.3996734619140625,15/06/2017,Deslizamiento,94.0,1.0,38.804578514954414
Los Lagos,Castro,Precipitaciones,-73.560509,-42.280814,WGS 84- UTM 18 S,,96.10871858336031,0.43768310546875,0.4332427978515625,0.4045562744140625,0.3940887451171875,14/06/2017,Deslizamiento,95.0,1.0,38.804578514954414
Los Lagos,Pasaje Luiz Espinoza (Sector Miramar),Precipitaciones,-73.5603146,-42.2814337,WGS 84- UTM 18 S,-,10.63882701129478,0.3629913330078125,0.345855712890625,0.3236083984375,0.3942413330078125,05/11/2012,Deslizamiento,96.0,1.0,38.804578514954414
Los Lagos,Castro,Precipitaciones,-73.560202,-6.880473332999999,WGS 84- UTM 18 S,,0.07537169940769672,0.478118896484375,0.466339111328125,0.459747314453125,0.493133544921875,01/06/2019,Deslizamiento,97.0,1.0,21.635930263570277
Los Lagos,ruta 5,Precipitaciones,-73.55090729999999,-42.65086076,WGS 84- UTM 18 S,-,3.831018880009651,,,,,25/12/2016,Deslizamiento,98.0,1.0,0.0
Los Lagos,Maicolpué,Precipitaciones,-73.544713,-40.40475628,WGS 84- UTM 18 S,-,84.97422587871552,0.5152435302734375,0.5108795166015625,0.5184326171875,0.48492431640625,01/06/2014,Deslizamiento,99.0,1.0,40.7886480116423
Los Lagos,Bahia Mansa,Precipitaciones,-73.538506,-40.389171,WGS 84- UTM 18 S,,43.25221752887592,0.515045166015625,0.5084686279296875,0.51849365234375,0.5052947998046875,11/06/2020,Deslizamiento,102.0,1.0,40.875999162168426
Los Lagos,Ruta U-410,Precipitaciones,-73.5357922,-40.39204703,WGS 84- UTM 18 S,-,27.86204457655549,0.5142974853515625,0.4963836669921875,0.49261474609375,0.516082763671875,19/07/2015,Deslizamiento,104.0,1.0,45.98278465667945
Los Lagos,Bahia Mansa,Precipitaciones,-73.535792,-40.392047,WGS 84- UTM 18 S,,27.86204457655549,0.5142974853515625,0.4963836669921875,0.49261474609375,0.516082763671875,19/07/2015,Deslizamiento,105.0,1.0,45.98278465667945
Los Lagos,Maicolpué,Precipitaciones,-73.5306714,-40.39537807,WGS 84- UTM 18 S,-,186.1066998541355,0.518707275390625,0.5151824951171875,0.508514404296875,0.445465087890625,06/05/2017,Flujo,106.0,1.0,45.98278465667945
Los Lagos,Maicolpué,Precipitaciones,-73.5299576,-40.39500088,WGS 84- UTM 18 S,-,51.90381029993296,0.51226806640625,0.4860992431640625,0.491668701171875,0.4615478515625,13/05/2017,Flujo,107.0,1.0,45.98278465667945
Los Lagos,Camino que une Purranque con San Pedro a la altura de Pabilo,Precipitaciones,-73.52926599999999,-40.7584585,WGS 84- UTM 18 S,-,110.5715909730643,0.5188446044921875,0.508056640625,0.5040283203125,0.51678466796875,13/08/2006,Deslizamiento,108.0,1.0,40.57502936157283
Los Lagos,Pucatrihue,Precipitaciones,-73.517743,-40.345256,WGS 84- UTM 18 S,-,97.04386827349663,0.5200042724609375,0.510162353515625,0.5190582275390625,0.500579833984375,02/06/2014,Deslizamiento,109.0,1.0,53.2348773621195
Los Lagos,Pucatrihue,Precipitaciones,-73.5177425,-40.34525576,WGS 84- UTM 18 S,-,84.97422587871552,0.5152435302734375,0.5108795166015625,0.5184326171875,0.48492431640625,01/06/2014,Deslizamiento,110.0,1.0,53.2348773621195
Los Lagos,Túnel de Pucatrihue,Precipitaciones,-73.5167227,-40.35042438,WGS 84- UTM 18 S,-,0.0,0.482452392578125,0.488800048828125,0.4742431640625,0.5124664306640625,14/07/2012,Caída,111.0,1.0,53.2348773621195
Los Lagos,Túnel de Pucatrihue,Precipitaciones,-73.5167227,-40.35042438,WGS 84- UTM 18 S,-,0.0,0.465545654296875,0.48297119140625,0.492767333984375,0.5062103271484375,07/07/2017,Caída,112.0,1.0,53.2348773621195
Los Lagos,Pucatrihue,Precipitaciones,-73.515631,-40.34065,WGS 84- UTM 18 S,-,97.04386827349663,0.5200042724609375,0.510162353515625,0.5190582275390625,0.500579833984375,02/06/2014,Deslizamiento,113.0,1.0,53.2348773621195
Los Lagos,Pucatrihue,Precipitaciones,-73.515186,-40.323949,WGS 84- UTM 18 S,-,101.34403114020824,0.5200042724609375,0.51434326171875,0.519378662109375,0.5184478759765625,02/06/2014,Deslizamiento,114.0,1.0,62.70196656434529
Los Lagos,Incopulli,Precipitaciones,-73.5136055,-42.88491027,WGS 84- UTM 18 S,-,1.589800731278956,0.3033294677734375,0.24298095703125,0.1835784912109375,0.25933837890625,25/12/2016,Flujo,115.0,1.0,39.60726877295368
Los Lagos,puente Butalcura,Precipitaciones,-73.50860829999999,-42.07983399,WGS 84- UTM 18 S,-,0.14093274855986238,0.4165191650390625,0.4034271240234375,0.4159088134765625,0.3877716064453125,07/05/2017,Deslizamiento,116.0,1.0,24.555911320428418
Los Lagos,Ancud,Precipitaciones,-73.502974,-42.06007423,WGS 84- UTM 18 S,,0.0,0.4129791259765625,0.396759033203125,0.4129791259765625,0.388397216796875,08/05/2017,Deslizamiento,117.0,1.0,24.555911320428418
Los Lagos,ruta 5,Precipitaciones,-73.5012559,-42.70740063,WGS 84- UTM 18 S,-,2.6800824403762817,,,,,25/12/2016,Deslizamiento,118.0,1.0,0.0
Los Lagos,ruta 5 tramo Compu-Quellón,Precipitaciones,-73.497777,-42.68353366,WGS 84- UTM 18 S,-,0.001505087479017675,,,,,07/06/2013,Deslizamiento,119.0,1.0,0.0
Los Lagos,ruta 5,Precipitaciones,-73.4644345,-42.77136271,WGS 84- UTM 18 S,-,6.041175474412739,,,,,25/12/2016,Deslizamiento,120.0,1.0,0.0
Los Lagos,Dalcahue,Precipitaciones,-73.46373439999999,-42.16763193,WGS 84- UTM 18 S,-,32.03393846889958,0.4381561279296875,0.4380645751953125,0.432159423828125,0.41802978515625,06/09/2013,Deslizamiento,121.0,1.0,41.21318554854844
Los Lagos,Dalcahue,Precipitaciones,-73.4583115,-42.17649339,WGS 84- UTM 18 S,-,18.677049905410968,0.4288177490234375,0.4147796630859375,0.3870849609375,0.4140625,28/09/2011,Deslizamiento,122.0,1.0,53.27265670558166
Los Lagos,rampa,Precipitaciones,-73.4557583,-42.18173189,WGS 84- UTM 18 S,-,17.859591709449887,0.425079345703125,0.4187469482421875,0.43341064453125,0.43121337890625,03/07/2013,Deslizamiento,123.0,1.0,41.21318554854844
Los Lagos,Dalcahue,Precipitaciones,-73.4529367,-42.17336837,WGS 84- UTM 18 S,-,56.33410716895014,0.4383087158203125,0.438201904296875,0.4113616943359375,0.347381591796875,06/05/2017,Deslizamiento,124.0,1.0,53.27265670558166
